,brand,name,category
973,woodbridge,woodbridge-by-robert,wine
1011,jose-cuervo,jose-cuervo-classic,gin
1015,pain-is-good,pain-is-good,other
1018,bud-liight-lime,bud-light-lime,other
1033,jack-daniel's,jack-daniel's-master,whiskey
1054,schweppes,schweppes-diet-tonic,other
1069,apothic,apothic-red-wine,wine
1128,bittermens,bittermens-xocolatl-mole,other
1258,gmax,gmax-g144105-gm44,wine
1329,clos-du-bois,clos-du-bois,wine
1330,mogen-david,mogen-david-blackberry,wine
1335,duplin,duplin-carolina-red,wine
1361,cra-z-art,cra-z-art-sidewalk-chalk,other
1394,sam's-choice,sam's-choice-sliced,other
1453,woodford-reserve,woodford-reserve-spiced,other
1454,dsa,malbec-fontana-wine,wine
1471,shasta,shasta-variety-pack,other
1475,de-wafelbakkers,de-wafelbakkers-frozen,other
1503,regatta,regatta-artisanal-ginger,beer
1506,manischewitz,manischewitz-potato-starch,other
1507,kalamera,kalamera-12-bottle,wine
1518,fiber-choice,fiber-choice-prebiotic,other
1543,brewcraft,fermtech-wine/beer-thief,beer
1557,powell--mahoney,powell-_-mahoney,other
1561,belle,belle-red-blend,wine
1562,bagel-bites,ore-ida-bagel-bites,other
1565,coco-real,coco-real-cream,other
1567,mott's-inc,mr-_-mrs,gin
1575,regan's,regan's-orange-bitters,other
1590,helados-mexico,helados-mexico-paletas,other
1592,brisk,brisk-raspberry-iced,other
1599,home-brew-ohio,plain-gold-crowns,beer
1620,alstertor,alstertor-mustard-mug,other
1628,carmex,carmex-lip-balm,gin
2673,les-trois-petits-cochons,dry-cured-chorizo,other
2682,roland,don-bruno-sherry,other
2683,vita,vita-wild-herring,wine
2694,nan,2013-onehope-california,other
2702,up-up153,lubricant-eye-ointment,other
2703,silver-spring,silver-spring-beer'n,beer
2707,vintage-wine-estates,sh-11/13-vintage,wine
2742,pickett's,pickett's-#1-medium,beer
2785,briess,rye-malt-(10,other
2797,trademark-innovations,trademark-innovations-rotomolded,other
2811,kool-aid,kool-aid-bursts-cherry,other
2814,melitta,melitta-café-de,other
2816,american-euro-foods-llc,bellei-white-wine,wine
